Alder;Køn;Eksponeringer;CPM (pris pr. 1000 eksponeringer)
65;female;232;519,95689655
45-54;unknown;2;80
55-64;unknown;3;50
55-64;male;255;96,74509804
55-64;female;190;141,10526316
45-54;female;47;130
55-64;female;15;78
45-54;male;5;52
45-54;female;1;10
65;female;28;311,07142857
65;male;5;120
55-64;male;21;72,38095238
55-64;female;15;62
45-54;male;67;89,10447761
45-54;male;2;30
45-54;female;45;67,55555556
65;female;28;283,92857143
65;female;13;100,76923077
65;unknown;5;82
65;female;298;77,81879195
65;male;11;80,90909091
55-64;unknown;4;77,5
55-64;male;268;56,19402985
55-64;female;189;69,84126984
45-54;unknown;4;87,5
65;male;45;79,33333333
55-64;unknown;12;83,33333333
45-54;male;33;43,63636364
55-64;male;171;64,73684211
55-64;female;117;76,06837607
45-54;male;65;50,15384615
45-54;female;22;56,36363636
65;unknown;2;1075
35-44;male;1121;51,87332739
25-34;male;1582;49,21618205
65;female;209;446,50717703
65;female;4;417,5
65;male;121;475,37190083
65;male;6;408,33333333
35-44;male;378;47,59259259
25-34;male;1467;42,91751875
65;female;246;353,53658537
45-54;male;17;40
65;unknown;6;180
65;female;2;635
65;male;2;445
25-34;male;1652;45,42372881
45-54;female;13;44,61538462
35-44;male;1139;50,21949078
65;male;187;341,28342246
65;male;12;300
55-64;female;52;50,76923077
45-54;unknown;3;13,33333333
45-54;male;73;55,89041096
55-64;male;367;52,58855586
45-54;female;97;52,78350515
55-64;unknown;6;51,66666667
55-64;female;360;54,75
65;female;57;381,22807018
55-64;male;111;47,02702703
35-44;male;409;58,53300733
25-34;male;627;56,31578947
65;male;68;416,32352941
65;unknown;1;440
55-64;male;113;53,00884956
55-64;unknown;1;0
65;female;238;468,65546218
65;female;21;407,61904762
25-34;male;994;46,51911469
35-44;male;224;50,13392857
45-54;male;15;88
55-64;female;35;57,42857143
45-54;female;7;54,28571429
45-54;unknown;3;43,33333333
55-64;unknown;8;43,75
45-54;male;83;52,40963855
55-64;female;353;71,69971671
55-64;male;396;61,86868687
45-54;female;71;59,29577465
65;male;21;335,71428571
45-54;female;3;116,66666667
55-64;male;63;53,65079365
55-64;unknown;12;61,66666667
45-54;male;15;68,66666667
35-44;male;336;54,55357143
25-34;male;1667;47,93641272
55-64;female;43;54,88372093
65;female;222;473,64864865
65;male;72;422,91666667
65;unknown;5;362
25-34;male;1442;51,22746186
35-44;male;793;50,68095839
65;male;11;278,18181818
65;female;33;335,45454545
45-54;unknown;1;40
45-54;female;65;59,38461538
55-64;male;590;67,15254237
55-64;female;369;72,68292683
45-54;male;108;54,16666667
45-54;male;40;77,25
55-64;male;198;71,61616162
35-44;male;544;60,42279412
45-54;male;235;68,17021277
35-44;male;45;53,33333333
55-64;male;34;77,64705882
35-44;male;9;52,22222222
35-44;female;9;57,77777778
55-64;unknown;1;40
Unknown;unknown;1;10
25-34;male;1224;47,62254902
35-44;male;885;53,23163842
55-64;female;36;95,55555556
35-44;female;28;42,85714286
55-64;female;106;85,66037736
45-54;female;185;78,59459459
55-64;male;0;
45-54;unknown;1;90
45-54;female;35;63,42857143
45-54;unknown;4;35
25-34;male;0;
55-64;female;3;46,66666667
45-54;unknown;3;56,66666667
55-64;unknown;19;51,57894737
55-64;male;489;69,65235174
45-54;male;87;57,12643678
55-64;female;460;72,56521739
45-54;female;96;67,29166667
45-54;unknown;1;80
45-54;female;1;30
55-64;unknown;4;57,5
45-54;male;2;40
55-64;male;15;45,33333333
65;male;5;428
65;unknown;1;150
35-44;unknown;1;10
65;male;72;481,25
65;female;217;461,05990783
65;unknown;6;713,33333333
65;female;29;403,10344828
25-34;male;1254;56,18022329
45-54;unknown;7;44,28571429
45-54;female;260;84,46153846
35-44;male;91;66,37362637
45-54;female;12;120
55-64;unknown;3;113,33333333
35-44;unknown;4;62,5
45-54;male;13;60,76923077
55-64;unknown;2;50
55-64;male;126;77,77777778
55-64;female;109;95,59633028
55-64;male;177;74,97175141
35-44;female;54;60,74074074
35-44;male;126;72,06349206
45-54;unknown;1;50
65;female;45;99,11111111
65;female;3;130
65;male;1;50
55-64;male;301;86,57807309
55-64;unknown;13;87,69230769
55-64;female;218;94,58715596
45-54;female;29;71,37931034
45-54;male;36;65,83333333
25-34;male;1212;60,23927393
35-44;male;831;62,21419976
35-44;male;783;62,33716475
25-34;male;1443;60,81081081
25-34;male;226;90
55-64;female;141;106,31205674
65;male;18;116,66666667
65;unknown;2;110
45-54;female;52;65,96153846
65;female;169;515,0887574
65;male;65;523,07692308
65;unknown;3;416,66666667
65;female;45;393,55555556
65;male;14;510
45-54;male;58;68,96551724
55-64;female;257;70,27237354
55-64;male;347;72,82420749
55-64;unknown;6;153,33333333
45-54;male;394;72,66497462
55-64;male;268;85,18656716
55-64;female;174;127,35632184
45-54;male;24;81,25
45-54;female;29;126,89655172
55-64;unknown;5;80
65;male;11;56,36363636
65;male;24;91,66666667
65;male;1;200
65;female;14;67,14285714
65;female;2;460
55-64;male;770;79,55478104
45-54;female;64;98,98248812
45-54;male;124;72,07163992
55-64;female;399;98,99855626
45-54;unknown;2;45,03468654
55-64;unknown;15;48,70417951
65;female;14;672,14285714
65;male;7;791,42857143
65;unknown;2;50
65;female;53;72,45283019
45-54;male;131;88,16793893
45-54;male;45;57,11111111
55-64;unknown;5;76
45-54;female;33;61,81818182
55-64;female;251;89,16334661
45-54;unknown;1;50
65;male;6;145
55-64;male;723;84,60580913
55-64;male;348;65,86206897
65;female;15;138
55-64;female;376;95,63829787
55-64;unknown;17;146,47058824
45-54;female;58;92,06896552
65;unknown;1;310
65;female;7;172,85714286
65;male;4;75
45-54;unknown;3;56,66666667
45-54;unknown;1;50
55-64;male;834;71,75059952
55-64;unknown;15;95,33333333
55-64;female;422;87,41706161
45-54;male;130;60
45-54;unknown;6;48,33333333
55-64;male;351;74,58689459
45-54;female;64;85,46875
55-64;unknown;8;81,25
55-64;female;236;87,33050847
45-54;male;38;66,57894737
45-54;female;28;70,35714286
55-64;male;771;63,81322957
45-54;unknown;3;80
55-64;unknown;12;64,16666667
55-64;female;485;73,3814433
45-54;female;56;68,57142857
45-54;male;104;60
45-54;male;83;69,27710843
55-64;female;421;83,847981
55-64;male;565;75,80530973
45-54;female;60;88,16666667
55-64;unknown;9;115,55555556
35-44;female;11;68,18181818
55-64;unknown;7;78,57142857
45-54;male;71;81,12676056
45-54;female;46;71,52173913
55-64;female;366;87,97814208
55-64;male;608;73,61842105
45-54;unknown;1;70
35-44;male;27;64,81481481
55-64;male;236;75,42372881
45-54;unknown;3;66,66666667
55-64;unknown;3;120
35-44;unknown;1;30
45-54;female;103;80,19417476
45-54;male;198;51,26262626
55-64;female;112;101,42857143
45-54;male;19;63,15789474
55-64;female;211;89,33649289
45-54;female;197;78,73096447
55-64;unknown;4;107,5
55-64;unknown;12;57,5
45-54;female;6;66,66666667
55-64;male;153;65,29411765
55-64;female;65;80,92307692
45-54;female;8;98,75
45-54;male;7;87,14285714
55-64;unknown;1;210
55-64;male;26;154,23076923
35-44;male;62;44,83870968
55-64;female;26;111,92307692
55-64;male;386;71,24352332
35-44;female;16;55,625
45-54;male;387;54,31524548
45-54;unknown;5;62
35-44;unknown;2;30
45-54;male;50;90,4
35-44;female;18;66,11111111
55-64;unknown;9;67,77777778
45-54;male;336;51,19047619
45-54;female;22;88,63636364
55-64;male;463;76,47948164
55-64;female;216;92,5462963
55-64;male;362;64,83425414
45-54;female;167;68,68263473
55-64;female;197;95,88832487
35-44;male;57;49,8245614
55-64;unknown;8;78,75
45-54;unknown;8;61,25
35-44;unknown;1;20
55-64;unknown;5;62
35-44;female;18;74,44444444
55-64;female;160;94,8125
45-54;male;279;71,07526882
45-54;female;161;78,44720497
45-54;unknown;4;42,5
35-44;male;55;39,27272727
55-64;male;441;79,65986395
55-64;unknown;5;74
55-64;male;243;76,00823045
45-54;male;62;64,35483871
45-54;female;30;116,33333333
55-64;female;220;77,40909091
45-54;female;175;62,57142857
45-54;male;272;44,44852941
55-64;male;233;70
55-64;female;145;72,27586207
35-44;male;38;38,94736842
45-54;unknown;4;45
35-44;unknown;1;10
55-64;unknown;3;43,33333333
55-64;male;539;61,9851577
55-64;female;296;64,7972973
45-54;male;56;71,07142857
45-54;female;28;71,42857143
45-54;unknown;1;50
55-64;unknown;8;80
35-44;female;23;62,60869565
45-54;female;55;39,45454545
55-64;female;395;59,97468354
55-64;male;604;46,57284768
45-54;male;82;43,7804878
55-64;male;200;56,7
55-64;unknown;7;80
45-54;male;267;50,52434457
35-44;unknown;1;10
55-64;female;184;61,68478261
45-54;unknown;5;66
35-44;female;23;44,7826087
35-44;male;45;34
45-54;female;207;71,73913043
55-64;unknown;2;115
45-54;female;25;82,8
55-64;male;242;57,27272727
55-64;female;168;68,69047619
55-64;unknown;7;80
45-54;male;38;72,10526316
45-54;unknown;1;10
55-64;unknown;10;73
45-54;male;65;57,84615385
45-54;female;23;67,82608696
55-64;male;486;72,55144033
55-64;female;286;71,64335664
55-64;unknown;11;49,09090909
45-54;female;31;66,12903226
55-64;male;573;63,42059337
55-64;female;282;57,9787234
45-54;male;81;54,44444444
55-64;female;148;59,59459459
55-64;male;81;48,7654321
55-64;male;569;61,31810193
55-64;unknown;5;48
65;unknown;3;66,66666667
65;male;67;54,7761194
55-64;unknown;9;34,44444444
45-54;male;81;62,34567901
55-64;female;264;64,50757576
45-54;female;30;58,66666667
65;female;99;67,77777778
45-54;male;46;75,43478261
55-64;unknown;1;100
45-54;unknown;2;15
35-44;male;4;55
55-64;female;25;95,6
55-64;male;40;104,75
45-54;female;20;83
35-44;male;34;36,47058824
45-54;male;310;48,70967742
55-64;male;334;55,62874251
45-54;unknown;2;25
55-64;female;131;78,85496183
35-44;female;12;106,66666667
55-64;unknown;4;87,5
35-44;unknown;2;20
45-54;female;128;66,796875
35-44;female;7;100
35-44;unknown;2;30
35-44;male;34;38,23529412
55-64;unknown;7;80
45-54;female;116;58,01724138
45-54;male;302;54,86754967
55-64;male;331;63,35347432
55-64;female;107;78,78504673
45-54;unknown;4;25
55-64;female;129;89,84496124
55-64;unknown;4;67,5
45-54;male;240;62,08333333
55-64;male;250;73,84
45-54;female;97;87,21649485
35-44;female;9;65,55555556
45-54;unknown;1;30
35-44;unknown;2;20
35-44;male;23;61,73913043
45-54;male;247;58,98785425
45-54;female;120;93,83333333
55-64;male;266;67,18045113
35-44;male;31;50,96774194
55-64;female;105;83,42857143
35-44;female;16;68,75
55-64;unknown;3;73,33333333
45-54;unknown;3;50
45-54;unknown;6;58,33333333
55-64;unknown;6;81,66666667
35-44;female;12;53,33333333
55-64;female;107;100,74766355
45-54;female;90;99,22222222
55-64;male;201;85,97014925
45-54;male;200;72,85
35-44;male;23;46,08695652
55-64;female;135;89,33333333
35-44;female;15;104,66666667
55-64;male;238;66,2605042
35-44;unknown;1;30
55-64;unknown;5;38
45-54;unknown;9;76,66666667
35-44;male;41;38,29268293
45-54;male;197;58,37563452
45-54;female;118;90
45-54;female;104;66,44230769
45-54;unknown;4;65
45-54;male;240;51,20833333
35-44;female;7;52,85714286
35-44;male;28;47,85714286
55-64;unknown;2;185
55-64;female;132;95,3030303
55-64;male;317;62,61829653
65;unknown;1;30
65;unknown;7;62,85714286
65;male;43;71,1627907
65;female;67;66,86567164
65;male;134;74,25373134
45-54;unknown;9;47,77777778
35-44;female;15;50,66666667
55-64;unknown;10;56
35-44;male;24;40
45-54;female;135;54,22222222
55-64;female;160;65,375
55-64;male;327;65,04587156
45-54;male;241;49,29460581
65;female;378;82,8042328
65;unknown;7;112,85714286
65;male;117;87,86324786
65;female;363;86,33608815
45-54;female;107;68,87850467
65;male;29;76,89655172
65;female;87;63,56321839
55-64;male;269;60,78066914
55-64;unknown;6;118,33333333
55-64;female;150;76,93333333
35-44;female;16;38,75
45-54;male;242;50,2892562
65;unknown;1;60
45-54;unknown;7;37,14285714
35-44;male;26;45,38461538
65;male;32;102,1875
65;male;7;110
65;female;64;85,3125
65;unknown;2;55
65;female;5;44
65;male;18;75
65;male;122;97,21311475
65;unknown;8;120
65;female;362;107,48618785
65;female;40;65,75
65;unknown;1;30
65;female;32;94,375
65;unknown;7;102,85714286
65;male;110;106,90909091
65;female;378;108,49206349
65;unknown;2;255
65;male;21;98,57142857
65;female;31;69,67741935
Unknown;unknown;0;
55-64;female;2;25
55-64;male;1;20
55-64;female;58;90
65;male;15;58,66666667
55-64;unknown;1;160
55-64;male;23;41,30434783
55-64;male;286;48,88111888
65;female;432;73,7962963
55-64;female;627;57,6076555
65;male;184;64,7826087
55-64;unknown;9;54,44444444
65;unknown;5;70
Unknown;unknown;0;
Unknown;unknown;0;
65;female;11;50
55-64;female;2;35
55-64;male;3;96,66666667
65;male;1;40
65;female;437;60,25171625
55-64;male;128;88,828125
65;unknown;5;90
55-64;unknown;3;93,33333333
Unknown;unknown;0;
55-64;male;331;46,7673716
65;male;202;55,3960396
Unknown;unknown;0;
55-64;female;793;50,58007566
55-64;unknown;7;42,85714286
55-64;female;8;55
65;unknown;3;103,33333333
55-64;male;1;20
65;male;2;20
55-64;female;227;87,2246696
65;female;12;68,33333333
65;female;178;115,39325843
65;male;124;119,03225806
65;female;8;81,25
Unknown;unknown;0;
55-64;female;9;118,88888889
55-64;female;66;99,6969697
55-64;male;25;78,8
65;female;33;120
65;male;25;96
65;unknown;2;80
Unknown;unknown;0;
55-64;unknown;1;30
65;male;4;217,5
65;female;410;64,68292683
55-64;male;359;40,61281337
Unknown;unknown;0;
65;unknown;6;53,33333333
65;male;180;54,11111111
55-64;unknown;10;52
55-64;unknown;1;40
55-64;female;58;74,48275862
65;female;13;63,84615385
Unknown;unknown;0;
55-64;male;34;67,35294118
55-64;unknown;1;50
55-64;female;780;53,96153846
65;male;29;61,03448276
65;female;1;60
65;male;1;100
55-64;male;8;72,5
65;male;9;135,55555556
65;female;13;113,07692308
55-64;female;20;89
65;female;308;72,46753247
55-64;female;498;61,24497992
Unknown;unknown;0;
65;male;159;62,64150943
65;male;3;136,66666667
65;unknown;8;60
65;male;3;86,66666667
55-64;male;2;20
65;unknown;1;40
65;female;3;53,33333333
55-64;female;5;70
65;female;4;82,5
55-64;male;257;61,40077821
55-64;unknown;6;78,33333333
Unknown;unknown;0;
65;unknown;4;40
65;male;84;84,16666667
65;female;145;81,93103448
45-54;male;14;49,28571429
Unknown;unknown;0;
45-54;female;6;75
45-54;male;5;34
Unknown;unknown;0;
55-64;female;31;100
45-54;female;24;89,16666667
55-64;male;18;78,33333333
55-64;unknown;1;10
45-54;female;7;117,14285714
45-54;male;12;58,33333333
55-64;female;12;93,33333333
55-64;male;17;59,41176471
55-64;male;10;96
55-64;female;3;80
55-64;unknown;1;60
55-64;unknown;5;42
Unknown;unknown;0;
45-54;male;66;68,33333333
45-54;female;93;82,47311828
45-54;unknown;3;63,33333333
Unknown;unknown;0;
45-54;unknown;2;105
55-64;female;145;101,24137931
55-64;female;218;96,19266055
45-54;unknown;6;68,33333333
Unknown;unknown;0;
55-64;unknown;5;60
55-64;male;306;79,54248366
55-64;unknown;7;51,42857143
45-54;male;239;67,32217573
55-64;male;155;80,96774194
45-54;male;137;61,53284672
55-64;female;187;78,39572193
55-64;male;143;72,86713287
45-54;female;148;80,13513514
45-54;female;97;75,56701031
Unknown;unknown;0;
45-54;male;163;59,75460123
55-64;female;118;70,08474576
Unknown;unknown;0;
45-54;unknown;8;63,75
55-64;female;220;90,13636364
45-54;male;265;64,79245283
55-64;male;384;75,15625
45-54;female;163;81,16564417
55-64;male;83;75,06024096
55-64;male;224;61,91964286
55-64;female;227;80,88105727
45-54;female;66;81,06060606
45-54;female;138;76,95652174
Unknown;unknown;0;
45-54;unknown;5;130
55-64;unknown;2;75
45-54;male;47;80,63829787
55-64;unknown;3;66,66666667
55-64;unknown;5;84
45-54;unknown;3;73,33333333
Unknown;unknown;0;
45-54;unknown;9;70
45-54;female;133;85,03759398
55-64;male;472;72,88135593
45-54;male;351;65,92592593
55-64;female;197;85,53299492
55-64;unknown;8;78,75
45-54;female;85;77,64705882
55-64;male;161;61,92546584
55-64;male;125;88,24
55-64;female;135;67,11111111
Unknown;unknown;0;
45-54;male;80;80,125
45-54;unknown;3;90
55-64;unknown;2;65
45-54;male;121;80,24793388
Unknown;unknown;0;
45-54;female;82;87,43902439
55-64;female;158;84,55696203
55-64;unknown;6;88,33333333
45-54;unknown;6;40
45-54;male;110;80,81818182
55-64;female;155;76,38709677
55-64;male;166;75,96385542
55-64;unknown;3;76,66666667
45-54;female;82;71,70731707
45-54;unknown;4;72,5
45-54;unknown;4;40
Unknown;unknown;0;
55-64;unknown;5;66
45-54;female;125;100,16
45-54;unknown;2;210
55-64;female;199;90,20100503
55-64;male;345;86,34782609
45-54;male;258;74,6124031
65;unknown;9;145,55555556
65;female;489;108,93660532
65;male;163;100,30674847
45-54;male;146;74,93150685
55-64;female;214;90,98130841
55-64;male;233;94,33476395
Unknown;unknown;0;
45-54;female;124;105,32258065
Unknown;unknown;0;
Unknown;unknown;0;
55-64;unknown;3;33,33333333
55-64;male;263;87,71863118
45-54;female;169;75,32544379
45-54;unknown;1;20
45-54;male;202;69,95049505
55-64;unknown;1;60
55-64;female;272;93,56617647
55-64;unknown;5;42
45-54;unknown;3;33,33333333
55-64;male;334;73,35329341
45-54;female;102;90
Unknown;unknown;0;
65;male;120;134,75
65;female;240;142,91666667
55-64;unknown;1;40
Unknown;unknown;0;
45-54;male;265;78,52830189
55-64;female;130;97
Unknown;unknown;0;
55-64;female;181;88,39779006
55-64;male;115;93,73913043
45-54;male;70;76,28571429
45-54;unknown;2;30
45-54;female;113;95,04424779
Unknown;unknown;0;
65;unknown;7;78,57142857
65;female;2;1060
45-54;female;121;90
55-64;unknown;6;85
55-64;female;143;114,75524476
55-64;male;527;78,57685009
45-54;male;376;68,88297872
45-54;female;92;94,13043478
45-54;male;147;67,75510204
45-54;unknown;6;90
55-64;male;201;65,72139303
Unknown;unknown;0;
55-64;unknown;6;48,33333333
45-54;unknown;1;20
55-64;female;204;88,87254902
Unknown;unknown;0;
45-54;male;56;63,57142857
55-64;female;199;80,40201005
Unknown;unknown;0;
55-64;unknown;2;30
45-54;unknown;5;82
55-64;male;87;74,36781609
45-54;female;138;74,27536232
55-64;male;102;71,76470588
55-64;unknown;3;20
45-54;unknown;2;30
Unknown;unknown;0;
55-64;female;189;97,61904762
45-54;male;47;59,14893617
45-54;female;82;87,68292683
55-64;female;149;74,56375839
Unknown;unknown;0;
45-54;male;82;87,80487805
55-64;male;126;89,92063492
55-64;female;196;92,65306122
45-54;unknown;4;37,5
55-64;unknown;5;86
45-54;male;404;70,44554455
45-54;female;113;96,37168142
45-54;unknown;3;40
55-64;male;577;80,5372617
Unknown;unknown;0;
45-54;female;138;98,84057971
55-64;unknown;1;40
Unknown;unknown;0;
45-54;female;111;87,11711712
Unknown;unknown;0;
55-64;female;172;91,45348837
45-54;male;48;88,75
55-64;unknown;5;72
45-54;female;105;86,76190476
45-54;unknown;3;46,66666667
55-64;male;93;87,84946237
Unknown;unknown;0;
45-54;male;88;72,72727273
45-54;unknown;6;58,33333333
55-64;unknown;5;42
45-54;male;385;72,41558442
45-54;female;136;96,54411765
45-54;unknown;2;35
55-64;unknown;4;57,5
55-64;male;170;81,29411765
55-64;female;193;81,39896373
55-64;female;214;87,24299065
55-64;male;506;81,64031621
55-64;male;157;83,82165605
45-54;unknown;2;35
55-64;unknown;3;76,66666667
Unknown;unknown;0;
45-54;female;88;81,25
55-64;female;126;102,77777778
55-64;male;115;86,86956522
45-54;male;117;79,65811966
Unknown;unknown;0;
55-64;unknown;9;51,11111111
45-54;female;199;79,09547739
55-64;female;126;116,19047619
45-54;unknown;7;120
55-64;unknown;7;124,28571429
45-54;female;83;76,14457831
55-64;female;269;92,08178439
Unknown;unknown;0;
55-64;male;397;79,64735516
45-54;male;322;86,11801242
45-54;unknown;3;36,66666667
45-54;male;116;85,34482759
45-54;male;11;54,54545455
45-54;unknown;2;65
55-64;male;19;81,05263158
Unknown;unknown;0;
55-64;female;19;99,47368421
45-54;female;8;81,25
55-64;male;212;71,50943396
45-54;female;48;89,16666667
45-54;female;17;98,82352941
55-64;unknown;4;52,5
45-54;unknown;2;70
55-64;female;105;88,28571429
45-54;male;131;69,08396947
45-54;male;4;52,5
Unknown;unknown;0;
55-64;female;43;96,27906977
Unknown;unknown;0;
55-64;male;15;62,66666667
55-64;unknown;1;50
45-54;unknown;3;50
45-54;unknown;2;75
55-64;female;115;89,2173913
45-54;male;5;56
55-64;female;7;40
55-64;male;17;167,05882353
45-54;female;5;62
55-64;male;71;79,85915493
55-64;unknown;1;250
55-64;unknown;4;90
Unknown;unknown;0;
45-54;male;284;61,37323944
55-64;male;444;78,26576577
55-64;female;114;90
45-54;female;91;61,42857143
45-54;female;72;93,47222222
Unknown;unknown;0;
45-54;male;50;75,8
Unknown;unknown;0;
Unknown;unknown;0;
55-64;female;40;102,75
Unknown;unknown;0;
65;male;18;103,88888889
65;unknown;1;30
Unknown;unknown;0;
45-54;male;46;51,30434783
55-64;male;26;61,92307692
35-44;male;14;35,71428571
45-54;female;11;82,72727273
55-64;female;6;45
35-44;female;1;20
65;female;17;107,64705882
55-64;male;1;40
55-64;male;2;30
45-54;female;1;30
55-64;male;23;76,52173913
35-44;female;1;70
Unknown;unknown;0;
65;male;6;115
Unknown;unknown;0;
55-64;male;2;35
55-64;female;3;73,33333333
65;female;6;180
Unknown;unknown;0;
55-64;female;83;96,74698795
65;male;67;108,20895522
55-64;male;58;83,10344828
65;unknown;1;90
55-64;unknown;1;90
65;female;68;82,05882353
65;male;4;65
Unknown;unknown;0;
45-54;male;102;55,19607843
55-64;male;76;57,89473684
35-44;unknown;2;55
65;female;4;67,5
45-54;unknown;1;40
35-44;female;5;46
35-44;male;21;134,28571429
65;female;70;106,85714286
45-54;female;50;64,8
55-64;female;24;100,83333333
65;male;50;71,6
65;unknown;3;36,66666667
35-44;female;1;20
45-54;female;1;30
Unknown;unknown;0;
55-64;male;1;10
45-54;male;3;60
55-64;female;5;24
35-44;female;2;20
Unknown;unknown;0;
45-54;female;4;30
55-64;female;5;58
55-64;male;6;45
45-54;male;8;43,75
65;female;2;50
65;male;3;66,66666667
65;male;128;85,859375
Unknown;unknown;0;
55-64;female;46;68,04347826
Unknown;unknown;0;
65;unknown;5;88
65;female;240;145,66666667
45-54;male;159;56,28930818
35-44;male;33;74,24242424
55-64;male;100;72,4
45-54;female;44;93,63636364
45-54;female;1;120
45-54;male;1;30
35-44;female;11;54,54545455
55-64;unknown;3;76,66666667
45-54;unknown;2;85
45-54;unknown;4;32,5
35-44;female;12;117,5
35-44;unknown;1;40
25-34;male;439;61,48063781
Unknown;unknown;0;
65;male;3;80
65;female;7;170
45-54;female;6;40
55-64;female;3;73,33333333
45-54;female;69;63,91304348
55-64;male;28;60,35714286
55-64;unknown;1;250
55-64;female;25;74,8
Unknown;unknown;0;
45-54;female;38;77,36842105
45-54;male;27;57,03703704
35-44;male;5;58
35-44;female;5;88
Unknown;unknown;0;
45-54;male;2;85
55-64;female;49;70,6122449
35-44;male;44;74,09090909
65;male;87;60,91954023
65;male;33;86,66666667
55-64;female;76;114,73684211
55-64;male;39;98,71794872
65;female;45;106,66666667
Unknown;unknown;0;
45-54;male;237;63,83966245
65;female;222;180,4954955
65;unknown;7;71,42857143
55-64;unknown;2;125
Unknown;unknown;0;
55-64;female;169;102,78106509
65;female;158;118,92405063
55-64;male;93;93,87096774
65;male;76;85
65;unknown;5;428
55-64;unknown;3;53,33333333
Unknown;unknown;0;
65;unknown;3;46,66666667
35-44;male;208;62,78846154
55-64;male;1;150
65;female;2;210
65;male;2;55
55-64;female;4;77,5
55-64;male;133;59,69924812
Unknown;unknown;0;
65;male;132;75,75757576
65;male;131;80,30534351
Unknown;unknown;0;
65;male;2;40
35-44;male;8;90
45-54;male;88;68,40909091
55-64;male;58;78,44827586
55-64;female;196;94,48979592
65;female;191;87,38219895
55-64;male;150;79,93333333
45-54;female;34;87,05882353
55-64;unknown;5;60
65;unknown;4;127,5
Unknown;unknown;0;
45-54;unknown;2;30
Unknown;unknown;0;
55-64;female;15;66
45-54;unknown;3;163,33333333
35-44;female;3;126,66666667
65;female;4;90
35-44;unknown;2;105
Unknown;unknown;0;
35-44;male;14;70,71428571
55-64;female;2;65
Unknown;unknown;0;
65;unknown;2;95
65;male;27;67,03703704
Unknown;unknown;0;
45-54;male;7;54,28571429
55-64;female;5;64
45-54;female;4;60
55-64;male;3;100
35-44;male;1;40
55-64;male;35;58,57142857
55-64;female;47;60,85106383
55-64;female;90;73,22222222
65;female;49;89,3877551
Unknown;unknown;0;
65;unknown;5;34
65;male;3;66,66666667
45-54;male;97;70,82474227
35-44;female;25;59,2
55-64;male;67;64,02985075
45-54;female;107;73,08411215
65;female;213;167,13615023
35-44;female;1;100
Unknown;unknown;0;
35-44;unknown;13;60
65;unknown;2;125
65;female;51;95,29411765
55-64;female;52;116,15384615
55-64;male;60;92,66666667
65;male;80;97,875
Unknown;unknown;0;
65;unknown;4;460
65;male;95;397,47368421
65;female;115;426
35-44;female;437;77,55148741
45-54;unknown;29;114,13793103
55-64;unknown;20;130,5
45-54;female;964;90,07261411
55-64;female;684;113,55263158
Unknown;unknown;0;
45-54;male;224;78,75
55-64;male;176;85,625
35-44;male;137;72,11678832
Unknown;unknown;0;
65;female;22;667,72727273
Unknown;unknown;0;
65;male;8;617,5
65;unknown;1;130
65;male;7;598,57142857
Unknown;unknown;0;
65;female;156;399,29487179
Unknown;unknown;0;
65;male;42;399,28571429
65;unknown;4;102,5
55-64;unknown;2;45
65;female;15;435,33333333
55-64;male;192;136,20170881
55-64;unknown;1;340
35-44;female;40;451,75
35-44;male;11;430
45-54;unknown;4;467,5
55-64;unknown;4;59,91002999
65;unknown;19;113,51374103
55-64;female;175;160,15948017
65;female;200;163,55438187
65;male;244;125,3036283
35-44;unknown;2;305
55-64;male;20;377,5
45-54;male;13;403,84615385
55-64;female;61;588,03278689
45-54;female;98;451,32653061
Unknown;unknown;0;
65;female;211;386,72985782
35-44;unknown;13;90
Unknown;unknown;0;
55-64;unknown;12;162,5
35-44;male;98;89,89795918
35-44;female;346;90,89595376
45-54;male;172;90,87209302
65;male;78;438,46153846
65;female;25;358,8
55-64;female;644;119,30124224
65;unknown;1;320
65;male;2;425
Unknown;unknown;0;
65;female;27;373,33333333
65;unknown;1;170
65;male;40;434
65;female;79;550,25316456
65;male;5;356
65;female;1;750
65;unknown;26;165,76923077
65;female;8;877,5
65;female;51;554,70588235
Unknown;unknown;0;
65;male;26;384,61538462
65;male;9;510
65;male;3;453,33333333
45-54;unknown;18;113,33333333
55-64;unknown;12;114,16666667
45-54;female;860;108,40697674
55-64;male;197;104,82233503
55-64;female;372;148,49462366
55-64;male;411;101,99513382
65;female;520;146,32692308
Unknown;unknown;0;
55-64;unknown;7;81,42857143
65;unknown;10;123
65;male;548;115,49270073
55-64;female;182;112,85714286
65;female;223;125,56053812
65;male;239;105,39748954
Unknown;unknown;0;
55-64;male;126;100,55555556
65;unknown;1;390
Unknown;unknown;0;
Unknown;unknown;0;
65;unknown;1;200
65;male;54;376,48148148
65;female;114;371,40350877
Unknown;unknown;0;
35-44;unknown;7;191,42857143
55-64;unknown;3;243,33333333
45-54;unknown;5;70
55-64;female;178;177,80898876
35-44;male;29;64,13793103
35-44;female;107;124,85981308
55-64;male;24;128,75
45-54;male;22;91,81818182
45-54;female;253;135,45454545
Unknown;unknown;0;
55-64;male;183;110,21857923
Unknown;unknown;0;
65;male;3;350
65;unknown;1;280
55-64;unknown;7;82,85714286
65;unknown;19;161,57894737
65;male;285;135,43859649
65;male;10;362
55-64;female;248;162,54032258
65;female;482;162,7593361
