Alder;Køn;Eksponeringer;CPM (pris pr. 1000 eksponeringer)
Unknown;unknown;0;
55-64;male;34;167,64705882
35-44;male;79;56,20253165
55-64;unknown;2;30
55-64;male;11;74,54545455
45-54;male;3;103,33333333
Unknown;unknown;0;
35-44;female;9;45,55555556
55-64;male;319;108,68338558
45-54;male;167;59,28143713
55-64;male;32;57,1875
35-44;male;25;55,2
35-44;unknown;2;25
45-54;male;850;82,76470588
Unknown;unknown;0;
55-64;male;1605;89,37694704
Unknown;unknown;0;
35-44;male;78;70,51282051
55-64;male;690;107,88405797
45-54;male;736;88,75
45-54;male;8;95
Unknown;unknown;0;
45-54;female;4;65
Unknown;unknown;0;
35-44;unknown;1;30
55-64;unknown;4;97,5
35-44;male;125;63,92
55-64;male;73;75,06849315
35-44;female;35;57,71428571
45-54;female;78;58,46153846
55-64;female;42;90,23809524
Unknown;unknown;0;
45-54;male;232;58,8362069
45-54;unknown;5;108
35-44;male;1;20
55-64;male;1;30
55-64;male;51;98,62745098
55-64;female;73;90,2739726
55-64;male;28;60,35714286
55-64;male;1262;88,70839937
45-54;male;757;73,67239102
Unknown;unknown;0;
45-54;male;253;83,83399209
35-44;female;1;40
55-64;male;72;181,80555556
35-44;male;21;66,19047619
55-64;male;344;104,76744186
35-44;female;1;60
55-64;female;2;20
35-44;male;50;45,8
55-64;unknown;4;235
55-64;male;808;105,24752475
Unknown;unknown;0;
45-54;male;660;88,1969697
Unknown;unknown;0;
55-64;female;38;105,26315789
Unknown;unknown;0;
55-64;female;673;119,25705795
55-64;unknown;18;201,66666667
55-64;male;623;126,42054575
55-64;male;635;81,13385827
45-54;male;421;64,56057007
Unknown;unknown;0;
55-64;unknown;9;71,11111111
Unknown;unknown;0;
55-64;male;348;150,51724138
45-54;male;20;65,5
55-64;male;195;140,92307692
55-64;female;146;145,61643836
Unknown;unknown;0;
55-64;female;364;110,98901099
55-64;unknown;8;78,75
Unknown;unknown;0;
55-64;unknown;7;242,85714286
45-54;female;91;85,16483516
45-54;unknown;7;121,42857143
55-64;female;261;101,37931034
55-64;male;214;104,01869159
55-64;male;7;81,42857143
35-44;male;1;80
35-44;female;2;40
45-54;male;158;75,06329114
35-44;male;12;72,5
55-64;male;194;95
Unknown;unknown;0;
45-54;male;124;88,46774194
55-64;male;1;80
35-44;male;9;47,77777778
35-44;male;63;75,3968254
Unknown;unknown;0;
55-64;male;448;94,0625
45-54;male;274;70,4379562
45-54;male;841;81,65279429
55-64;male;1016;97,5984252
Unknown;unknown;0;
Unknown;unknown;0;
35-44;female;14;90,71428571
45-54;male;2;85
55-64;male;18;44,44444444
45-54;male;8;47,5
55-64;male;6;55
35-44;male;6;48,33333333
35-44;male;62;64,51612903
55-64;male;73;92,60273973
45-54;female;2;195
55-64;male;4;57,5
55-64;male;1253;95,47486034
55-64;female;52;120
55-64;female;1;90
Unknown;unknown;0;
45-54;male;736;79,04891304
45-54;male;8;91,25
55-64;male;65;70,30769231
45-54;male;62;85,80645161
Unknown;unknown;0;
55-64;male;17;69,41176471
55-64;male;709;97,02397743
35-44;male;6;30
35-44;male;3;150
55-64;female;1;660
35-44;female;1;120
45-54;male;1;30
55-64;male;1;50
45-54;female;3;96,66666667
35-44;male;21;72,85714286
55-64;female;8;68,75
